,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Rating
0,Wii Sports,Wii,2006,Sports,Nintendo,82530000.0,76.0,8.0,E
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,35520000.0,82.0,8.3,E
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,32770000.000000004,80.0,8.0,E
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,29800000.0,89.0,8.5,E
7,Wii Play,Wii,2006,Misc,Nintendo,28920000.0,58.0,6.6,E
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28320000.0,87.0,8.4,E
11,Mario Kart DS,DS,2005,Racing,Nintendo,23210000.0,91.0,8.6,E
13,Wii Fit,Wii,2007,Sports,Nintendo,22700000.0,80.0,7.7,E
14,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21810000.0,61.0,6.3,E
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,21790000.0,80.0,7.4,E
16,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21040000.0,97.0,8.2,M
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20810000.0,95.0,9.0,M
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20150000.0,77.0,7.9,E
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16270000.0,97.0,8.1,M
24,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16149999.999999998,95.0,8.7,M
26,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15290000.0,77.0,7.1,E
28,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14980000.0,95.0,8.4,E
29,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14730000.0,88.0,3.4,M
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,14610000.0,87.0,6.3,M
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13790000.0,83.0,5.3,M
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13670000.0,83.0,4.8,M
36,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13470000.0,94.0,6.3,M
37,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13320000.0,88.0,3.2,M
38,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13100000.0,97.0,8.5,M
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12840000.0,93.0,8.9,T
40,Mario Kart 7,3DS,2011,Racing,Nintendo,12660000.0,85.0,8.2,E
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12630000.0,88.0,6.4,M
42,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12610000.0,97.0,8.3,M
43,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12130000.0,86.0,8.7,E
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,12120000.0,94.0,7.8,M
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11660000.0,89.0,8.5,E
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,11350000.0,97.0,8.9,E
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11010000.0,98.0,7.9,M
52,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10950000.0,96.0,8.7,E
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,10810000.0,90.0,8.4,E
54,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10700000.0,84.0,7.5,E
55,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10600000.0,94.0,6.3,M
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10500000.0,98.0,7.5,M
60,Call of Duty: Ghosts,X360,2013,Shooter,Activision,10250000.0,73.0,2.6,M
61,Just Dance 3,Wii,2011,Misc,Ubisoft,10120000.0,74.0,7.8,E10+
62,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,9900000.0,78.0,7.2,E
64,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9860000.0,91.0,7.9,M
65,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9720000.0,92.0,9.2,T
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,9710000.0,87.0,7.0,M
67,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,9490000.0,93.0,9.0,T
68,Just Dance 2,Wii,2010,Misc,Ubisoft,9440000.0,74.0,7.3,E10+
69,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,9360000.0,71.0,2.6,M
70,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,9310000.0,94.0,8.4,M
73,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,9160000.0,88.0,8.7,E
74,Mario Party DS,DS,2007,Misc,Nintendo,8910000.0,72.0,7.8,E
75,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,8790000.0,96.0,8.4,M
